t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor,servFRTor,servRRTor,servFLTor,servRLTor
0.0,0.1988800464243217,0.22679123698702294,-1.4503443090554519e-05,-5.907907915781766e-13,-0.009810000000071945,-5.46346932050358e-13,-5.907907915781766e-10,-9.810000000071945,-5.46346932050358e-10,0.0,0.0,1.0,-7.920648598761859e-16,1.1976920002097737e-15,-3.225273314914463e-16,2.9001879319354074e-11,-2.5277682017471016e-11,1.1958799118727887e-10,-5.710370012455908e-13,-1.8871574745690177e-10,-3.518187825635037e-12,1.390205925557236e-09,-3.9964328392941687e-10
0.001,0.1988800464243217,0.22677161698702294,-1.4503443090559596e-05,1.3881851635488794e-15,-0.019619999999992765,-5.077875903344535e-15,5.921789767417256e-10,-9.80999999992082,5.412690561470135e-10,0.0,0.0,1.0,-8.159744046177658e-16,1.1727520418853626e-15,-3.362216310918071e-16,-2.3648830866708744e-11,2.507022098899494e-11,-1.2009572520217714e-10,1.3249029714591645e-11,1.8336305542720457e-10,9.091230425456917e-12,-1.398970397947135e-09,4.0745464435836105e-10
0.002,0.1988800464243217,0.22674218698702295,-1.4503443090543382e-05,8.100005564242572e-15,-0.02942999999999284,1.6213539233335506e-14,6.711820400693692e-12,-9.810000000000075,2.1291415136680042e-11,0.0,0.0,1.0,-8.033018951853175e-16,1.1196932881857951e-15,-2.9507853859694686e-16,4.803396754513808e-13,3.91878275209823e-12,3.2867099198978387e-12,-1.919097289489398e-11,1.1820548769505922e-11,-5.312361253187608e-12,-1.6381656215379926e-11,6.32696539978022e-12
0.003,0.1988800464243217,0.22670294698702295,-1.4503443090551166e-05,-8.051240003428873e-15,-0.0392399999999864,-7.784777867496506e-15,-1.6151245567671444e-11,-9.809999999993556,-2.399831710083201e-11,0.0,0.0,1.0,-8.13466936067555e-16,1.1572768402149343e-15,-3.0984024227824477e-16,-8.266058548511474e-12,-8.091041961730912e-12,5.91999170576571e-12,8.734713185203106e-12,2.523334488156536e-12,-1.0159699322104175e-11,5.534047222883555e-12,-4.3032440314846154e-12
0.004,0.1988800464243217,0.22665389698702296,-1.4503443090545581e-05,-9.873985641104442e-15,-0.04905000000000017,5.5850486152921544e-15,-1.822745637675569e-12,-9.810000000013773,1.3369826482788662e-11,0.0,0.0,1.0,-7.942879586999434e-16,1.22144122980262e-15,-3.3431324433674667e-16,-4.1737642914514547e-13,7.056462035215217e-12,-1.6641779679519367e-11,-7.972801652663413e-13,-3.3905599896309728e-12,-6.215165997130936e-12,1.7768348288333887e-11,-1.8109565023783424e-11
0.005,0.1988800464243217,0.22659503698702296,-1.4503443090558564e-05,8.884080375324899e-15,-0.05886000000000739,-1.2983523508699202e-14,1.8758066016429342e-11,-9.810000000007223,-1.8568572123991356e-11,0.0,0.0,1.0,-7.868162053972315e-16,1.1916032440290628e-15,-3.170266425828161e-16,8.346495010871995e-12,-3.498288910109802e-12,6.199673820274781e-12,-3.5499818351341193e-12,-2.311943463253488e-13,1.2087590748919373e-11,3.2169122893324857e-12,9.155073161450907e-12
0.006,0.1988800464243217,0.22652636698702294,-1.450344309055506e-05,1.0211069923222252e-14,-0.06867000000000693,3.5058601676165306e-15,1.3269895478973529e-12,-9.80999999999954,1.6489383676315734e-11,0.0,0.0,1.0,-8.0953989060039075e-16,1.1690008937807582e-15,-3.194799416742608e-16,-7.169454551388209e-12,-2.9918655128270026e-12,3.2426751193666554e-12,5.50091738163914e-12,-3.642639568115004e-12,1.80807436855103e-11,-6.6430512802005075e-12,5.571562965173011e-12
0.007,0.1988800464243217,0.22644788698702292,-1.4503443090551554e-05,1.021122754393457e-14,-0.07848000000000693,3.505845124460979e-15,1.5762071231775248e-16,-9.809999999999999,-1.504315555174802e-17,0.0,0.0,1.0,-8.322633076587117e-16,1.1463993244506696e-15,-3.219328982521166e-16,-6.988353302397255e-17,1.6205288205809466e-17,2.1765688907876126e-17,-2.2932942036850793e-17,6.759083249163019e-18,4.126123559606687e-18,-1.8743661750804957e-17,4.2307215100596055e-18
0.008,0.1988800464243217,0.22635959698702293,-1.4503443090542972e-05,1.1581633381315229e-14,-0.08828999999999776,8.582414261208848e-15,1.3704058373806592e-12,-9.809999999990826,5.076569136747868e-12,0.0,0.0,1.0,-8.274318646158928e-16,1.2133050400421176e-15,-2.9941875020961387e-16,-2.9138933683516826e-12,4.6597683001699455e-12,-4.08183780616988e-12,-2.030756633330759e-12,1.1018387532041893e-12,-5.007292019461367e-12,-1.2805968707358622e-12,1.4122736057203779e-12
0.009000000000000001,0.1988800464243217,0.22626149698702294,-1.4503443090553262e-05,-1.2882552748723829e-14,-0.0980999999999815,-1.0289387643182591e-14,-2.446418613003906e-11,-9.809999999983734,-1.8871801904391436e-11,0.0,0.0,1.0,-8.14732105701963e-16,1.156327000474308e-15,-2.8911160557653134e-16,6.131992886852898e-12,1.905041801218477e-12,9.232894972582534e-12,-6.138258082323889e-12,-5.3290715532226905e-12,-4.7104816238247286e-11,2.6685800565335464e-11,-2.051081245402098e-11
0.010000000000000002,0.19888004642432167,0.22615358698702295,-1.4503443090553297e-05,-1.8571710717637322e-14,-0.10790999999999269,-3.626473555497117e-17,-5.689157968913493e-12,-9.810000000011199,1.025312290762762e-11,0.0,0.0,1.0,-8.035984687248664e-16,1.1673144099586247e-15,-3.257721819940983e-16,2.0435066011446674e-12,-2.243581136174679e-12,4.526764524860291e-12,2.162891785015491e-12,4.67089346134574e-12,2.392291824573921e-11,-4.30416645392435e-12,-4.118460724125666e-13
0.011000000000000003,0.1988800464243217,0.22603586698702294,-1.4503443090516585e-05,4.048860054490913e-14,-0.11772000000000392,3.671258633440763e-14,5.906031126254645e-11,-9.810000000011227,3.6748851069962605e-11,0.0,0.0,1.0,-7.694765648266982e-16,1.2154261610501139e-15,-3.0032521865883703e-16,-9.077801480522692e-12,9.493187683459447e-12,-4.1268989976735444e-11,1.8727288011139248e-11,-3.6124860803386817e-12,2.6346853908926825e-11,9.18394964288863e-13,1.3616939100607405e-11
0.012000000000000004,0.19888004642432167,0.22590833698702295,-1.4503443090548925e-05,-2.349016276890067e-14,-0.12752999999999773,-3.2339609580126844e-14,-6.39787633138098e-11,-9.80999999999381,-6.905219591453448e-11,0.0,0.0,1.0,-8.020270791248095e-16,1.1741423218391864e-15,-3.1414906104083773e-16,9.524454552658437e-12,-1.6380667386714513e-11,4.4761411121943964e-11,-3.7214819457232966e-11,1.3030037518211358e-11,-1.3894660583964482e-11,-3.506597446815958e-11,5.012174393688547e-12
0.013000000000000005,0.19888004642432167,0.22577099698702296,-1.4503443090551437e-05,-1.0130997220408731e-14,-0.13733999999999733,-2.5126331375246497e-15,1.3359165548491938e-11,-9.809999999999597,2.9826976442602194e-11,0.0,0.0,1.0,-8.03673083075237e-16,1.1896929468812606e-15,-3.207034256006412e-16,-4.968136343431964e-12,-3.586410375252194e-12,-1.5936084492036493e-11,2.983884579145563e-11,-2.9101928988242025e-11,1.564361045609015e-11,2.1348762113472697e-11,2.237740741575961e-12
0.014000000000000005,0.1988800464243217,0.22562384698702292,-1.4503443090544683e-05,3.549307100064861e-14,-0.14715000000002984,6.754178541867829e-15,4.562406822105734e-11,-9.810000000032515,9.266811679392479e-12,0.0,0.0,1.0,-8.022065160183486e-16,1.1780922121414021e-15,-3.0682905269082375e-16,5.059020390773616e-12,2.561638576473304e-11,-5.605133443820477e-12,-2.0150274414389795e-11,1.5888738359052597e-11,-2.7533403259239626e-12,-8.44678891203641e-12,-1.0387800201598564e-11
0.015000000000000006,0.19888004642432167,0.22546688698702294,-1.45034430905485e-05,-2.293691800410432e-14,-0.15695999999997678,-3.817284760399634e-15,-5.842998900475294e-11,-9.809999999946944,-1.0571463302267464e-11,0.0,0.0,1.0,-8.034752896284167e-16,1.1991074574843231e-15,-3.1053847520560564e-16,-5.99211218899595e-12,-2.433027501961609e-11,1.2515380518541712e-11,2.202624536911082e-11,1.3695375475061852e-11,-2.1606034702571545e-11,6.664729726655248e-12,3.424900886075611e-12
0.016000000000000007,0.19888004642432167,0.22530011698702296,-1.450344309056798e-05,-8.867684903902701e-15,-0.16676999999998243,-1.9480089643303553e-14,1.406923310020162e-11,-9.810000000005648,-1.566280488290392e-11,0.0,0.0,1.0,-7.872052313083008e-16,1.1668634755506655e-15,-3.1844747261539722e-16,-5.3708911056457514e-12,8.704134432880105e-12,-5.837042111950947e-12,-1.3308171297317913e-11,-3.942609085256103e-11,2.0543626903028445e-11,-3.0450877736580895e-12,-1.4244265629913126e-12
0.017000000000000008,0.19888004642432167,0.22512353698702295,-1.4503443090547192e-05,-4.515509407396203e-15,-0.17658000000001314,2.0788531122435837e-14,4.352175496506498e-12,-9.81000000003071,4.026862076573939e-11,0.0,0.0,1.0,-8.128335710809763e-16,1.1491613392380719e-15,-3.2614627196627453e-16,6.969518658176211e-12,1.4141760880803035e-12,1.5620583547999697e-12,4.8161320672337e-12,1.2410868822695225e-11,-4.959444773232103e-12,9.616654344451506e-13,2.0556518386817728e-12
0.01800000000000001,0.19888004642432167,0.22493714698702294,-1.4503443090566667e-05,2.521875831141884e-15,-0.18639000000000536,-1.9474214094631883e-14,7.0373852385380865e-12,-9.809999999992215,-4.026274521706772e-11,0.0,0.0,1.0,-7.811099012619805e-16,1.2111446950241945e-15,-3.255821170696903e-16,2.858265279033034e-13,-1.527863998039595e-12,-9.98056451005463e-13,-1.4814262793120824e-13,8.214844519367116e-12,1.4210641846637388e-12,-2.7735627199645785e-12,2.1200030047866773e-12
0.01900000000000001,0.19888004642432167,0.22474094698702293,-1.450344309055319e-05,-5.9413616186416625e-15,-0.19619999999999657,1.3476165604344106e-14,-8.463237449783546e-12,-9.809999999991215,3.2950379698975985e-11,0.0,0.0,1.0,-7.802118071875105e-16,1.1778394757257942e-15,-3.3880348409648947e-16,4.167391934794334e-12,2.1739198509602896e-12,-5.466500448883748e-13,-3.386204336053774e-12,2.6220030641888677e-11,-1.3294667235667268e-11,7.722277074122212e-12,-3.2764363697876e-12
0.02000000000000001,0.1988800464243217,0.22453493698702293,-1.4503443090540041e-05,2.2807291568263594e-14,-0.20600999999999423,1.3149734384926787e-14,2.8748653186905255e-11,-9.809999999997654,-3.264312194173196e-13,0.0,0.0,1.0,-7.965369980214161e-16,1.2038340463330964e-15,-2.9328461104769555e-16,-3.909980656977776e-12,2.6886753407018768e-12,-1.9500949808682833e-12,-3.4012433716259445e-12,-1.818338993237835e-11,7.194038677098734e-12,-6.406315401809911e-12,-1.2818330631871382e-11
0.02100000000000001,0.19888004642432164,0.22431911698702295,-1.4503443090565278e-05,-4.9508588648676117e-14,-0.21581999999997675,-2.523592612402352e-14,-7.231588021693971e-11,-9.809999999982526,-3.83856605089503e-11,0.0,0.0,1.0,-8.20077843881617e-16,1.2072211265797144e-15,-4.644945958431485e-16,2.649289976626047e-12,2.7634108608502227e-11,-7.7417345692106e-13,3.5227462496955804e-11,7.40653354264569e-12,1.3519251753617584e-11,-1.6415180347966446e-11,3.1374619232386546e-11
0.022000000000000013,0.1988800464243217,0.22409348698702294,-1.4503443090557414e-05,5.5122927467044063e-14,-0.22563000000001412,7.86368192107723e-15,1.0463151611572018e-10,-9.810000000037371,3.309960804510075e-11,0.0,0.0,1.0,-8.02423720754233e-16,1.2068354595509067e-15,-2.994551502724016e-16,-2.441995931570536e-12,-6.731914129798846e-11,6.040123395438863e-12,-5.797099383845992e-11,4.139993073532156e-12,-2.2423538043340903e-11,1.9176063469499745e-11,-2.1439364170231353e-11
0.023000000000000013,0.19888004642432167,0.22385804698702294,-1.4503443090536004e-05,-3.125480716656222e-14,-0.23543999999999318,2.140891303491709e-14,-8.637773463360629e-11,-9.809999999979057,1.3545231113839859e-11,0.0,0.0,1.0,-7.847469949683888e-16,1.159577366823072e-15,-3.1707526926077075e-16,-1.8900048244962714e-12,3.8279146473383536e-11,-1.2026287156077034e-12,2.961966498838262e-11,-2.511316992109384e-11,1.0710599499393033e-12,2.329340656849589e-11,9.407966275723942e-12
0.024000000000000014,0.19888004642432167,0.22361279698702294,-1.4503443090545874e-05,-1.3801099369036512e-14,-0.24525000000000274,-9.870145665967509e-15,1.7453707797525712e-11,-9.81000000000956,-3.12790587008846e-11,0.0,0.0,1.0,-8.102465339318683e-16,1.177962782871394e-15,-3.3682170904568553e-16,-9.705829458675686e-13,-8.651984354007947e-12,-3.427638021419008e-12,-2.003256795941912e-12,6.816061295900086e-12,1.0405287947807007e-11,-2.2583111337398e-11,-6.514247592934994e-12
0.025000000000000015,0.19888004642432167,0.22335773698702294,-1.45034430905704e-05,1.1915680232583915e-14,-0.25505999999999723,-2.4526664702713973e-14,2.5716779601620426e-11,-9.80999999999449,-1.4656519036746466e-11,0.0,0.0,1.0,-7.933823641672207e-16,1.1830120168468814e-15,-3.3848711960928467e-16,1.4453091627620522e-12,9.731345809975866e-12,1.96441973101621e-12,-8.713935596412314e-12,8.953687082443818e-13,-5.245625428662564e-13,3.745442145309504e-12,-1.0122342078817463e-11
0.026000000000000016,0.19888004642432167,0.22309286698702294,-1.4503443090546077e-05,9.497259778471669e-15,-0.26486999999999145,2.4322667916721866e-14,-2.418420454112246e-12,-9.809999999994211,4.8849332619435843e-11,0.0,0.0,1.0,-7.95998645126311e-16,1.2038515140104006e-15,-3.2488242139343826e-16,2.0371477887895153e-13,-9.355900064027452e-12,-2.2703802695306535e-12,1.182065184881869e-11,-8.877418211219644e-13,-9.610289293084013e-12,1.5699746408179878e-13,3.0001312032677476e-13
0.027000000000000017,0.19888004642432167,0.22281818698702294,-1.4503443090559713e-05,-5.195558374234339e-15,-0.274680000000002,-1.3635934413302851e-14,-1.4692818152706008e-11,-9.810000000010533,-3.795860233002471e-11,0.0,0.0,1.0,-7.815495159255151e-16,1.1929482007576036e-15,-3.44106841240964e-16,-3.091222371636591e-12,6.206562402980508e-12,3.4581156776244726e-12,1.7084765445791268e-12,1.1358828165925764e-11,1.0924076942505764e-11,-9.663063970201037e-12,2.1271897462135802e-11
